# Selection : patch(outletGeo)
# Faces  :    94
# Area   :    8.762406e-06
# Time        	areaAverage(U)
0.118659      	(-5.402388e-01 5.209810e-01 8.171439e-09)
0.11873       	(-5.414639e-01 5.221972e-01 8.171911e-09)
0.1188        	(-5.426897e-01 5.234140e-01 8.175582e-09)
0.118871      	(-5.439164e-01 5.246314e-01 8.184228e-09)
0.118941      	(-5.451440e-01 5.258497e-01 8.198748e-09)
0.119012      	(-5.463728e-01 5.270691e-01 8.219198e-09)
0.119082      	(-5.476030e-01 5.282896e-01 8.244926e-09)
0.119153      	(-5.488346e-01 5.295115e-01 8.274779e-09)
0.119218      	(-5.500054e-01 5.306760e-01 8.369604e-09)
0.119283      	(-5.511846e-01 5.318503e-01 8.473979e-09)
0.119348      	(-5.523646e-01 5.330256e-01 8.464715e-09)
0.119414      	(-5.535412e-01 5.341970e-01 8.358368e-09)
0.119479      	(-5.547133e-01 5.353628e-01 8.192177e-09)
0.119544      	(-5.558809e-01 5.365232e-01 7.996169e-09)
0.119609      	(-5.570450e-01 5.376793e-01 7.807900e-09)
0.119674      	(-5.582066e-01 5.388322e-01 7.657824e-09)
0.119739      	(-5.593666e-01 5.399829e-01 7.566776e-09)
0.119805      	(-5.605255e-01 5.411324e-01 7.544137e-09)
0.11987       	(-5.616838e-01 5.422810e-01 7.588443e-09)
0.119935      	(-5.628419e-01 5.434294e-01 7.689611e-09)
0.12          	(-5.640003e-01 5.445778e-01 7.831995e-09)
0.120068      	(-5.651924e-01 5.457577e-01 7.972042e-09)
0.120136      	(-5.663819e-01 5.469339e-01 8.111880e-09)
0.120204      	(-5.675685e-01 5.481070e-01 8.255742e-09)
0.120271      	(-5.687603e-01 5.492855e-01 8.399333e-09)
0.120339      	(-5.699575e-01 5.504695e-01 8.534450e-09)
0.120406      	(-5.711540e-01 5.516535e-01 8.658597e-09)
0.120473      	(-5.723552e-01 5.528424e-01 8.765002e-09)
0.12054       	(-5.735596e-01 5.540347e-01 8.850195e-09)
0.120607      	(-5.747609e-01 5.552241e-01 8.918212e-09)
0.120673      	(-5.759649e-01 5.564161e-01 8.968342e-09)
0.12074       	(-5.771705e-01 5.576095e-01 9.001938e-09)
0.120806      	(-5.783717e-01 5.587988e-01 9.026128e-09)
0.120872      	(-5.795747e-01 5.599895e-01 9.041307e-09)
0.120938      	(-5.807784e-01 5.611809e-01 9.048937e-09)
0.121004      	(-5.819769e-01 5.623672e-01 9.055638e-09)
0.12107       	(-5.831764e-01 5.635544e-01 9.060535e-09)
0.121135      	(-5.843760e-01 5.647417e-01 9.063672e-09)
